Symbol,Security Name,Exchange,Yahoo Symbol
BWBBP,"Bridgewater Bancshares, Inc. - Depositary Shares, Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ,BWBBP
BWEN,"Broadwind, Inc. - Common Stock",NASDAQ,BWEN
BWFG,"Bankwell Financial Group, Inc. - Common Stock",NASDAQ,BWFG
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,N,BWG
BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",NASDAQ,BWIN
BWIV.U,"Blue Water Acquisition Corp. IV Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",N,BWIV-U
BWLP,BW LPG Limited Common Shares,N,BWLP
BWMN,Bowman Consulting Group Ltd. - Common Stock,NASDAQ,BWMN
BWMX,"Betterware de Mexico, S.A.P.I. de C.V. Ordinary Shares",N,BWMX
BWNB,"Babcock & Wilcox Enterprises, Inc. 6.50% Senior Notes due 2026",N,BWNB
BWXT,"BWX Technologies, Inc. Common Stock",N,BWXT
BX,Blackstone Inc. Common Stock,N,BX
BXC,Bluelinx Holdings Inc. Common Stock,N,BXC
BXMT,"Blackstone Mortgage Trust, Inc. Common Stock",N,BXMT
BXP,"BXP, Inc. Common Stock",N,BXP
BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest,N,BXSL
BY,"Byline Bancorp, Inc. Common Stock",N,BY
BYAH,"Park Ha Biological Technology Co., Ltd. - Class A Ordinary Shares",NASDAQ,BYAH
BYD,Boyd Gaming Corporation Common Stock,N,BYD
BYFC,Broadway Financial Corporation - Class A Common Stock,NASDAQ,BYFC
BYND,"Beyond Meat, Inc. - Common stock",NASDAQ,BYND
BYRN,"Byrna Technologies, Inc. - Common Stock",NASDAQ,BYRN
BYSI,"BeyondSpring, Inc. - Ordinary Shares",NASDAQ,BYSI
BZ,KANZHUN LIMITED - American Depository Shares,NASDAQ,BZ
BZAI,"Blaize Holdings, Inc. - Common Stock",NASDAQ,BZAI
BZAIW,"Blaize Holdings, Inc. - Warrant",NASDAQ,BZAIW
BZFD,"BuzzFeed, Inc. - Class A Common Stock",NASDAQ,BZFD
BZFDW,"BuzzFeed, Inc. - Warrant",NASDAQ,BZFDW
BZH,"Beazer Homes USA, Inc. Common Stock",N,BZH
BZUN,Baozun Inc. - American Depositary Shares,NASDAQ,BZUN
C,"Citigroup, Inc. Common Stock",N,C
CAAP,Corporacion America Airports SA Common Shares,N,CAAP
CAAS,"China Automotive Systems, Inc. - Ordinary Share",NASDAQ,CAAS
CABA,"Cabaletta Bio, Inc. - Common Stock",NASDAQ,CABA
CABO,"Cable One, Inc. Common Stock",N,CABO
CABR,"Caring Brands, Inc. - Common Stock",NASDAQ,CABR
CAC,Camden National Corporation - Common Stock,NASDAQ,CAC
CACC,Credit Acceptance Corporation - Common Stock,NASDAQ,CACC
CACI,"CACI International, Inc. Class A Common Stock",N,CACI
CADL,"Candel Therapeutics, Inc. - Common Stock",NASDAQ,CADL
CAE,CAE Inc. Ordinary Shares,N,CAE
CAEP,"Cantor Equity Partners III, Inc. - Class A Ordinary Shares",NASDAQ,CAEP
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,N,CAF
CAG,"ConAgra Brands, Inc. Common Stock",N,CAG
CAH,"Cardinal Health, Inc. Common Stock",N,CAH
CAI,"Caris Life Sciences, Inc. - Common Stock",NASDAQ,CAI
CAIIU,Collective Acquisition Corp. II - Units,NASDAQ,CAIIU
CAKE,The Cheesecake Factory Incorporated - Common Stock,NASDAQ,CAKE
CAL,"Caleres, Inc. Common Stock",N,CAL
CALC,"CalciMedica, Inc. - Common Stock",NASDAQ,CALC
CALM,"Cal-Maine Foods, Inc. - Common Stock",NASDAQ,CALM
CALX,"Calix, Inc Common Stock",N,CALX
CALY,Callaway Golf Company Common Stock,N,CALY
CAMP,CAMP4 Therapeutics Corporation - Common Stock,NASDAQ,CAMP
CAMT,Camtek Ltd. - Ordinary Shares,NASDAQ,CAMT
CAN,Canaan Inc. - American Depositary Shares,NASDAQ,CAN
CANF,"Can-Fite Biopharma Ltd American Depositary Shares, each representing two (2) Ordinary Shares",A,CANF
CANG,Cango Inc. Class A Ordinary Shares,N,CANG
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,N,CAPL
CAPN,Cayson Acquisition Corp - Ordinary Shares,NASDAQ,CAPN
CAPNR,Cayson Acquisition Corp - Right,NASDAQ,CAPNR
CAPNU,Cayson Acquisition Corp - Units,NASDAQ,CAPNU
CAPR,"Capricor Therapeutics, Inc. - Common Stock",NASDAQ,CAPR
CAPS,Capstone Holding Corp. - Common Stock,NASDAQ,CAPS
CAQ,Cambridge Acquisition Corp. - Class A Ordinary Shares,NASDAQ,CAQ
CAQUU,Cambridge Acquisition Corp. - Unit,NASDAQ,CAQUU
CAQUW,Cambridge Acquisition Corp. - Warrants,NASDAQ,CAQUW
CAR,"Avis Budget Group, Inc. - Common Stock",NASDAQ,CAR
CARE,"Carter Bankshares, Inc. - Common Stock",NASDAQ,CARE
CARG,"CarGurus, Inc. - Class A Common Stock",NASDAQ,CARG
CARL,"Carlsmed, Inc. - Common Stock",NASDAQ,CARL
CARR,Carrier Global Corporation Common Stock ,N,CARR
CARS,Cars.com Inc. Common Stock ,N,CARS
CART,Maplebear Inc. - Common Stock,NASDAQ,CART
CASH,"Pathward Financial, Inc. - Common Stock",NASDAQ,CASH
CASS,"Cass Information Systems, Inc - Common Stock",NASDAQ,CASS
CAST,"FreeCast, Inc. - Class A common stock",NASDAQ,CAST
CASY,"Caseys General Stores, Inc. - Common Stock",NASDAQ,CASY
CAT,"Caterpillar, Inc. Common Stock",N,CAT
CATO,Cato Corporation (The) Class A Common Stock,N,CATO
CATX,"Perspective Therapeutics, Inc. Common Stock",A,CATX
CATY,Cathay General Bancorp - Common Stock,NASDAQ,CATY
CAVA,"CAVA Group, Inc. Common Stock",N,CAVA
CB,Chubb Limited  Common Stock,N,CB
CBAN,"Colony Bankcorp, Inc. Common Stock",N,CBAN
CBAT,"CBAK Energy Technology, Inc. - Common Stock",NASDAQ,CBAT
CBC,"Central Bancompany, Inc. - Class A Common Stock",NASDAQ,CBC
CBFV,"CB Financial Services, Inc. - Common Stock",NASDAQ,CBFV
CBIO,"Crescent Biopharma, Inc. - Common Stock",NASDAQ,CBIO
CBK,"Commercial Bancgroup, Inc. - Common Stock",NASDAQ,CBK
CBL,"CBL & Associates Properties, Inc. Common Stock",N,CBL
CBLL,"CeriBell, Inc. - Common Stock",NASDAQ,CBLL
CBNA,"Chain Bridge Bancorp, Inc. Class A Common Stock",N,CBNA
CBNK,"Capital Bancorp, Inc. - Common Stock",NASDAQ,CBNK
CBOE,"Cboe Global Markets, Inc. Common Stock",Z,CBOE
CBRE,CBRE Group Inc Common Stock Class A,N,CBRE
CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",NASDAQ,CBRL
CBSH,"Commerce Bancshares, Inc. - Common Stock",NASDAQ,CBSH
CBT,Cabot Corporation Common Stock,N,CBT
CBU,"Community Financial System, Inc. Common Stock",N,CBU
CBUS,"Cibus, Inc. - Class A Common Stock",NASDAQ,CBUS
CBZ,"CBIZ, Inc. Common Stock",N,CBZ
CC,Chemours Company (The) Common Stock,N,CC
CCAP,"Crescent Capital BDC, Inc. - Common Stock",NASDAQ,CCAP
CCB,Coastal Financial Corporation - Common Stock,NASDAQ,CCB
CCBG,Capital City Bank Group - Common Stock,NASDAQ,CCBG
CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,NASDAQ,CCC
CCCC,"C4 Therapeutics, Inc. - Common Stock",NASDAQ,CCCC
CCD,Calamos Dynamic Convertible & Income Fund - Closed End Fund,NASDAQ,CCD
CCEC,Capital Clean Energy Carriers Corp. - Common Share,NASDAQ,CCEC
CCEL,"Cryo-Cell International, Inc. Common Stock",A,CCEL
CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,NASDAQ,CCEP
CCG,Cheche Group Inc. - Class A Ordinary Shares,NASDAQ,CCG
CCGWW,Cheche Group Inc. - Warrant,NASDAQ,CCGWW
CCHH,CCH Holdings Ltd - Ordinary Shares,NASDAQ,CCHH
CCI,Crown Castle Inc. Common Stock,N,CCI
CCID,Carlyle Credit Income Fund 7.375% Series D Term Preferred Shares due 2028,N,CCID
CCIF,Carlyle Credit Income Fund Shares of Beneficial Interest,N,CCIF
CCII,Cohen Circle Acquisition Corp. II - Class A Ordinary Shares,NASDAQ,CCII
CCIIU,Cohen Circle Acquisition Corp. II - Unit,NASDAQ,CCIIU
CCIIW,Cohen Circle Acquisition Corp. II - Warrant,NASDAQ,CCIIW
CCIX,Churchill Capital Corp IX - Ordinary Shares,NASDAQ,CCIX
CCIXU,Churchill Capital Corp IX - Unit,NASDAQ,CCIXU
CCIXW,Churchill Capital Corp IX - Warrant,NASDAQ,CCIXW
CCJ,Cameco Corporation Common Stock,N,CCJ
CCK,"Crown Holdings, Inc.",N,CCK
CCL,Carnival Corporation Common Stock,N,CCL
CCLD,"CareCloud, Inc. - Common Stock",NASDAQ,CCLD
CCLDO,"CareCloud, Inc. - 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock",NASDAQ,CCLDO
CCM,Concord Medical Services Holdings Limited American Depositary Shares (Each represents thirty (30) Class A ordinary shares),N,CCM
CCNE,CNB Financial Corporation - Common Stock,NASDAQ,CCNE
CCNEP,"CNB Financial Corporation - Depositary shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed- Rate Non-Cumulative Perpetual Preferred Stock",NASDAQ,CCNEP
CCO,"Clear Channel Outdoor Holdings, Inc. Common Stock",N,CCO
CCOI,"Cogent Communications Holdings, Inc. - Common Stock",NASDAQ,CCOI
CCRN,"Cross Country Healthcare, Inc. - Common Stock",NASDAQ,CCRN
CCS,"Century Communities, Inc. Common Stock",N,CCS
CCSI,"Consensus Cloud Solutions, Inc. - Common Stock",NASDAQ,CCSI
CCTG,CCSC Technology International Holdings Limited - Class A Ordinary Shares,NASDAQ,CCTG
CCU,"Compania Cervecerias Unidas, S.A. Common Stock",N,CCU
CCXI,Churchill Capital Corp XI - Class A Ordinary Shares,NASDAQ,CCXI
CCXIU,Churchill Capital Corp XI - Units,NASDAQ,CCXIU
CCXIW,Churchill Capital Corp XI - Warrants,NASDAQ,CCXIW
CCZ,Comcast Holdings ZONES,N,CCZ
CD,Chaince Digital Holdings Inc. - American Ordinary Shares,NASDAQ,CD
CDE,"Coeur Mining, Inc. Common Stock",N,CDE
CDIO,Cardio Diagnostics Holdings Inc. - Common stock,NASDAQ,CDIO
CDIOW,Cardio Diagnostics Holdings Inc. - Warrant,NASDAQ,CDIOW
CDLR,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),N,CDLR
CDLX,"Cardlytics, Inc. - Common Stock",NASDAQ,CDLX
CDNA,"CareDx, Inc. - Common Stock",NASDAQ,CDNA
CDNL,Cardinal Infrastructure Group Inc. - Class A Common Stock,NASDAQ,CDNL
CDNS,"Cadence Design Systems, Inc. - Common Stock",NASDAQ,CDNS
CDP,COPT Defense Properties Common Shares of Beneficial Interest,N,CDP
CDRE,"Cadre Holdings, Inc. Common Stock",N,CDRE
CDRO,"Codere Online Luxembourg, S.A. - Ordinary Shares",NASDAQ,CDRO
CDROW,"Codere Online Luxembourg, S.A. - Warrants",NASDAQ,CDROW
CDT,CDT Equity Inc. - Common Stock,NASDAQ,CDT
CDTG,CDT Environmental Technology Investment Holdings Limited - ordinary shares,NASDAQ,CDTG
CDTTW,CDT Equity Inc. - Warrant,NASDAQ,CDTTW
CDW,CDW Corporation - Common Stock,NASDAQ,CDW
CDXS,"Codexis, Inc. - Common Stock",NASDAQ,CDXS
CDZI,"Cadiz, Inc. - Common Stock",NASDAQ,CDZI
CDZIP,"Cadiz, Inc. - Depositary Shares",NASDAQ,CDZIP
CE,Celanese Corporation Common Stock,N,CE
CECO,CECO Environmental Corp. - Common Stock,NASDAQ,CECO
CEE,"The Central and Eastern Europe Fund, Inc. (The) Common Stock",N,CEE
CEG,Constellation Energy Corporation - Common Stock When-Issued,NASDAQ,CEG
CELC,Celcuity Inc. - Common Stock,NASDAQ,CELC
CELG.R,Bristol-Myers Squibb Company Celegne Contingent Value Rights,N,CELG-R
CELH,"Celsius Holdings, Inc. - Common Stock",NASDAQ,CELH
CELU,Celularity Inc. - Class A Common Stock,NASDAQ,CELU
CELUW,Celularity Inc. - Warrant,NASDAQ,CELUW
CELZ,"Creative Medical Technology Holdings, Inc. - Common Stock",NASDAQ,CELZ
CENN,Cenntro Inc. - Common Stock,NASDAQ,CENN
CENT,Central Garden & Pet Company - Common Stock,NASDAQ,CENT
CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,NASDAQ,CENTA
CENX,Century Aluminum Company - Common Stock,NASDAQ,CENX
CEPF,"Cantor Equity Partners IV, Inc. - Class A Ordinary Shares",NASDAQ,CEPF
CEPO,"Cantor Equity Partners I, Inc. - Class A Ordinary Shares",NASDAQ,CEPO
CEPS,"Cantor Equity Partners VI, Inc. - Class A Ordinary Shares",NASDAQ,CEPS
CEPT,"Cantor Equity Partners II, Inc. - Class A ordinary share",NASDAQ,CEPT
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),N,CEPU
CEPV,"Cantor Equity Partners V, Inc. - Class A Ordinary Shares",NASDAQ,CEPV
CERS,Cerus Corporation - Common Stock,NASDAQ,CERS
CERT,"Certara, Inc. - Common Stock",NASDAQ,CERT
CET,Central Securities Corporation Common Stock,A,CET
CETX,Cemtrex Inc. - Common Stock,NASDAQ,CETX
CETY,"Clean Energy Technologies, Inc. - Common Stock",NASDAQ,CETY
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,A,CEV
CEVA,"CEVA, Inc. - Common Stock",NASDAQ,CEVA
CF,"CF Industries Holdings, Inc. Common Stock",N,CF
CFBK,CF Bankshares Inc. - Common Stock,NASDAQ,CFBK
CFFI,C&F Financial Corporation - Common Stock,NASDAQ,CFFI
CFFN,"Capitol Federal Financial, Inc. - Common Stock",NASDAQ,CFFN
CFG,"Citizens Financial Group, Inc. Common Stock",N,CFG
CFND,C1 Fund Inc. Common Stock,N,CFND
CFR,"Cullen/Frost Bankers, Inc. Common Stock",N,CFR
CG,The Carlyle Group Inc. - Common Stock,NASDAQ,CG
CGABL,The Carlyle Group Inc. - 4.625% Subordinated Notes due 2061,NASDAQ,CGABL
CGAU,Centerra Gold Inc. Common Shares,N,CGAU
CGBD,"Carlyle Secured Lending, Inc. - Closed End Fund",NASDAQ,CGBD
CGC,Canopy Growth Corporation - Common Shares,NASDAQ,CGC
CGCT,Cartesian Growth Corporation III - Class A Ordinary Shares,NASDAQ,CGCT
CGCTU,Cartesian Growth Corporation III - unit,NASDAQ,CGCTU
CGCTW,Cartesian Growth Corporation III - Warrant,NASDAQ,CGCTW
CGEM,"Cullinan Therapeutics, Inc. - Common Stock",NASDAQ,CGEM
CGEN,Compugen Ltd. - Ordinary Shares,NASDAQ,CGEN
CGNT,Cognyte Software Ltd. - Ordinary Shares,NASDAQ,CGNT
CGNX,Cognex Corporation - Common Stock,NASDAQ,CGNX
CGO,Calamos Global Total Return Fund - Closed End Fund,NASDAQ,CGO
CGON,"CG Oncology, Inc. - Common stock",NASDAQ,CGON
CGTL,Creative Global Technology Holdings Limited - Class A Ordinary Shares,NASDAQ,CGTL
CGTX,"Cognition Therapeutics, Inc. - Common Stock",NASDAQ,CGTX
CHA,"Chagee Holdings Limited - American Depositary Shares, each representing 1 Class A ordinary share",NASDAQ,CHA
CHAI,"Core AI Holdings, Inc. - Common Shares",NASDAQ,CHAI
CHAR,Charlton Aria Acquisition Corporation - Class A Ordinary Shares,NASDAQ,CHAR
CHARR,Charlton Aria Acquisition Corporation - Rights,NASDAQ,CHARR
CHARU,Charlton Aria Acquisition Corporation - Units,NASDAQ,CHARU
CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock",NASDAQ,CHCI
CHCO,City Holding Company - Common Stock,NASDAQ,CHCO
CHCT,Community Healthcare Trust Incorporated Common Stock,N,CHCT
CHD,"Church & Dwight Company, Inc. Common Stock",N,CHD
CHDN,"Churchill Downs, Incorporated - Common Stock",NASDAQ,CHDN
CHE,Chemed Corp,N,CHE
CHEC,Chenghe Acquisition III Co. - Class A Ordinary Shares,NASDAQ,CHEC
CHECU,Chenghe Acquisition III Co. - Units,NASDAQ,CHECU
CHECW,Chenghe Acquisition III Co. - Warrants,NASDAQ,CHECW
CHEF,"The Chefs' Warehouse, Inc. - Common Stock",NASDAQ,CHEF
CHGG,"Chegg, Inc. Common Stock",N,CHGG
CHH,"Choice Hotels International, Inc. Common Stock",N,CHH
CHI,Calamos Convertible Opportunities and Income Fund - Closed End Fund,NASDAQ,CHI
CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,NASDAQ,CHKP
CHMG,Chemung Financial Corp  - Common Stock,NASDAQ,CHMG
CHMI,Cherry Hill Mortgage Investment Corporation Common Stock,N,CHMI
CHNR,"China Natural Resources, Inc. - Common Shares",NASDAQ,CHNR
CHOW,ChowChow Cloud International Holdings Limited Ordinary Shares,A,CHOW
CHPG,ChampionsGate Acquisition Corporation - Class A Ordinary Share,NASDAQ,CHPG
CHPGR,ChampionsGate Acquisition Corporation - Rights,NASDAQ,CHPGR
CHPGU,ChampionsGate Acquisition Corporation - Unit,NASDAQ,CHPGU
CHPT,"ChargePoint Holdings, Inc. Common Stock",N,CHPT
CHR,"Cheer Holding, Inc.  - Class A Ordinary Share",NASDAQ,CHR
CHRD,Chord Energy Corporation - Common Stock,NASDAQ,CHRD
CHRS,"Coherus Oncology, Inc. - Common Stock",NASDAQ,CHRS
CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",NASDAQ,CHRW
CHSCL,"CHS Inc - Class B Cumulative Redeemable Preferred Stock, Series 4",NASDAQ,CHSCL
CHSCM,"CHS Inc - Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",NASDAQ,CHSCM
CHSCN,CHS Inc - Preferred Class B Series 2 Reset Rate,NASDAQ,CHSCN
CHSCO,CHS Inc - Class B Cumulative Redeemable Preferred Stock,NASDAQ,CHSCO
CHSCP,CHS Inc - 8%  Cumulative Redeemable Preferred Stock,NASDAQ,CHSCP
CHSN,Chanson International Holding - Class A Ordinary Shares,NASDAQ,CHSN
CHT,"Chunghwa Telecom Co., Ltd.",N,CHT
CHTR,"Charter Communications, Inc. - Class A Common Stock",NASDAQ,CHTR
CHW,Calamos Global Dynamic Income Fund - Closed End Fund,NASDAQ,CHW
CHWY,"Chewy, Inc. Class A Common Stock",N,CHWY
CHY,Calamos Convertible and High Income Fund - Closed End Fund,NASDAQ,CHY
CHYM,"Chime Financial, Inc. - Class A Common Stock",NASDAQ,CHYM
CI,The Cigna Group Common Stock,N,CI
CIA,"Citizens, Inc. Class A Common Stock ($1.00 Par)",N,CIA
CIB,Grupo Cibest S.A. American Depositary Shares each representing four Preferred Shares,N,CIB
CICB,CION Investment Corporation 7.50% Notes due 2029,N,CICB
CICC,CION Investment Corporation 7.50% Notes due 2031,N,CICC
CIEN,Ciena Corporation Common Stock,N,CIEN
CIF,MFS Intermediate High Income Fund Common Stock,N,CIF
CIFR,Cipher Digital Inc. - Common Stock,NASDAQ,CIFR
CIG,Comp En De Mn Cemig ADS American Depositary Shares,N,CIG
CIG.C,Comp En De Mn Cemig ADS American Depositary Receipts,N,CIG-C
CIGI,Colliers International Group Inc.  - Subordinate Voting Shares,NASDAQ,CIGI
CII,"BlackRock Enhanced Large Cap Core Fund, Inc. Common Stock",N,CII
CIIT,"Tianci International, Inc. - Common Stock",NASDAQ,CIIT
CIK,"Credit Suisse Asset Management Income Fund, Inc. Common Stock",A,CIK
CIM,Chimera Investment Corporation Common Stock,N,CIM
CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,N,CIMN
CIMO,Chimera Investment Corporation 9.250% Senior Notes due 2029,N,CIMO
CIMP,Chimera Investment Corporation 8.875% Senior Notes due 2030,N,CIMP
CINF,Cincinnati Financial Corporation - Common Stock,NASDAQ,CINF
CING,Cingulate Inc. - Common Stock,NASDAQ,CING
CINGW,Cingulate Inc. - Warrants,NASDAQ,CINGW
CINT,CI&T Inc Class A Common Shares,N,CINT
CION,CION Investment Corporation Common Stock,N,CION
CISO,"CISO Global, Inc. - Common Stock",NASDAQ,CISO
CISS,C3is Inc. - Common Stock,NASDAQ,CISS
CITR,CitroTech Inc. Common Stock,A,CITR
CIVB,"Civista Bancshares, Inc.  - Common Stock",NASDAQ,CIVB
CIX,CompX International Inc. Common Stock,A,CIX
CJMB,Callan JMB Inc. - Common Stock,NASDAQ,CJMB
CKX,"CKX Lands, Inc. Common Stock",A,CKX
CL,Colgate-Palmolive Company Common Stock,N,CL
CLAR,Clarus Corporation - Common Stock,NASDAQ,CLAR
CLB,Core Laboratories Inc. Common Stock,N,CLB
CLBK,"Columbia Financial, Inc. - Common Stock",NASDAQ,CLBK
CLBR,Colombier Acquisition Corp. III Class A Ordinary Shares,N,CLBR
CLBR.U,"Colombier Acquisition Corp. III Units, each consisting of one Class A ordinary share and one-eighth of one warrant",N,CLBR-U
CLBR.W,"Colombier Acquisition Corp. III Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",N,CLBR-W
CLBT,Cellebrite DI Ltd. - Ordinary Shares,NASDAQ,CLBT
CLDI,"Calidi Biotherapeutics, Inc. Common Stock",A,CLDI
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,N,CLDT
CLDX,"Celldex Therapeutics, Inc. - Common Stock",NASDAQ,CLDX
CLF,Cleveland-Cliffs Inc. Common Stock,N,CLF
CLFD,"Clearfield, Inc. - Common Stock",NASDAQ,CLFD
CLGN,CollPlant Biotechnologies Ltd. - Ordinary Shares,NASDAQ,CLGN
CLH,"Clean Harbors, Inc. Common Stock",N,CLH
CLIK,Click Holdings Limited - Ordinary Share,NASDAQ,CLIK
CLIR,ClearSign Technologies Corporation - Common Stock,NASDAQ,CLIR
CLLS,Cellectis S.A. - American Depositary Shares,NASDAQ,CLLS
CLM,"Cornerstone Strategic Investment Fund, Inc. Common Shares",A,CLM
CLMB,"Climb Global Solutions, Inc. - Common Stock",NASDAQ,CLMB
CLMT,"Calumet, Inc - Common Stock",NASDAQ,CLMT
CLNE,Clean Energy Fuels Corp. - Common Stock,NASDAQ,CLNE
CLNN,Clene Inc. - Common Stock,NASDAQ,CLNN
CLOV,"Clover Health Investments, Corp.  - Class A Common stock",NASDAQ,CLOV
CLPR,Clipper Realty Inc. Common Stock,N,CLPR
CLPS,CLPS Incorporation - Common Stock,NASDAQ,CLPS
CLPT,ClearPoint Neuro Inc. - Common Stock,NASDAQ,CLPT
CLRB,"Cellectar Biosciences, Inc. - Common Stock",NASDAQ,CLRB
CLRO,"ClearOne, Inc. - Common Stock",NASDAQ,CLRO
CLS,"Celestica, Inc. Common Stock",N,CLS
CLSK,"CleanSpark, Inc. - Common Stock",NASDAQ,CLSK
CLSKW,"CleanSpark, Inc. - Warrant",NASDAQ,CLSKW
CLST,"Catalyst Bancorp, Inc. - common stock",NASDAQ,CLST
CLVT,Clarivate Plc Ordinary Shares,N,CLVT
CLW,Clearwater Paper Corporation Common Stock,N,CLW
CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,NASDAQ,CLWT
CLX,Clorox Company (The) Common Stock,N,CLX
CLYM,"Climb Bio, Inc. - Common Stock",NASDAQ,CLYM
CM,Canadian Imperial Bank of Commerce Common Stock,N,CM
CMBT,CMB.TECH NV Ordinary Shares,N,CMBT
CMC,Commercial Metals Company Common Stock,N,CMC
CMCL,Caledonia Mining Corporation Plc Common Shares,A,CMCL
CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing fifty (50) Class A Ordinary Shares",N,CMCM
CMCO,Columbus McKinnon Corporation - Common Stock,NASDAQ,CMCO
CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ,CMCSA
CMCT,Creative Media  - Common Stock,NASDAQ,CMCT
CMDB,Costamare Bulkers Holdings Limited Common Stock,N,CMDB
CME,CME Group Inc. - Class A Common Stock,NASDAQ,CME
CMG,"Chipotle Mexican Grill, Inc. Common Stock",N,CMG
CMI,Cummins Inc. Common Stock,N,CMI
CMII,Columbus Circle Capital Corp II - Class A Ordinary Shares,NASDAQ,CMII
CMIIU,Columbus Circle Capital Corp II - Unit,NASDAQ,CMIIU
CMIIW,Columbus Circle Capital Corp II - Warrant,NASDAQ,CMIIW
CMMB,Chemomab Therapeutics Ltd.  - American Depositary Shares,NASDAQ,CMMB
CMND,Clearmind Medicine Inc. - Common Shares,NASDAQ,CMND
CMP,Compass Minerals Intl Inc Common Stock,N,CMP
CMPR,Cimpress plc - Ordinary Shares,NASDAQ,CMPR
CMPS,COMPASS Pathways Plc - American Depository Shares,NASDAQ,CMPS
CMPX,"Compass Therapeutics, Inc. - Common Stock",NASDAQ,CMPX
CMRC,"Commerce.com, Inc. - Series 1 Common Stock",NASDAQ,CMRC
CMRE,Costamare Inc. Common Stock $0.0001 par value,N,CMRE
CMS,CMS Energy Corporation Common Stock,N,CMS
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,N,CMSA
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,N,CMSC
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,N,CMSD
CMT,Core Molding Technologies Inc Common Stock,A,CMT
CMTG,"Claros Mortgage Trust, Inc. Common Stock",N,CMTG
CMTL,Comtech Telecommunications Corp. - Common Stock,NASDAQ,CMTL
CMTV,Community Bancorp.  - Common stock,NASDAQ,CMTV
CMU,MFS Municipal Income Trust Common Stock,N,CMU
CNA,CNA Financial Corporation Common Stock,N,CNA
CNC,Centene Corporation Common Stock,N,CNC
CNCK,Coincheck Group N.V. - Ordinary Shares,NASDAQ,CNCK
CNCKW,Coincheck Group N.V. - Warrants,NASDAQ,CNCKW
CNDT,Conduent Incorporated - Common Stock,NASDAQ,CNDT
CNET,ZW Data Action Technologies Inc. - Common Stock,NASDAQ,CNET
CNEY,CN Energy Group Inc. - Class A Ordinary Shares,NASDAQ,CNEY
CNF,"CNFinance Holdings Limited American Depositary Shares, each representing two hundred (200) Ordinary Shares",N,CNF
CNH,CNH Industrial N.V. Common Shares,N,CNH
CNI,Canadian National Railway Company Common Stock,N,CNI
CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",N,CNK
CNL,Collective Mining Ltd. Common Shares,A,CNL
CNM,"Core & Main, Inc. Class A Common Stock",N,CNM
CNMD,CONMED Corporation Common Stock,N,CNMD
CNNE,"Cannae Holdings, Inc. Common Stock",N,CNNE
CNO,"CNO Financial Group, Inc. Common Stock",N,CNO
CNOB,"ConnectOne Bancorp, Inc. - Common Stock",NASDAQ,CNOB
CNOBP,"ConnectOne Bancorp, Inc. - Depositary Shares (each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A, par value $0.00 per share)",NASDAQ,CNOBP
CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",N,CNP
CNQ,Canadian Natural Resources Limited Common Stock,N,CNQ
CNR,"Core Natural Resources, Inc. Common Stock",N,CNR
CNS,Cohen & Steers Inc Common Stock,N,CNS
CNSP,"CNS Pharmaceuticals, Inc. - Common Stock",NASDAQ,CNSP
CNTA,Centessa Pharmaceuticals plc - American Depositary Shares,NASDAQ,CNTA
CNTB,Connect Biopharma Holdings Limited - Ordinary Shares,NASDAQ,CNTB
CNTN,"Canton Strategic Holdings, Inc. - Common Stock",NASDAQ,CNTN
CNTX,Context Therapeutics Inc. - Common Stock,NASDAQ,CNTX
